1.19,290.85,42.94,0.09,"100,000.00",5.44,0.49,806.27,385.97,0.05,"154,545.51",0.10,0.54,231.20,"1,729.99","1,729.89"
1.19,291.83,31.62,0.10,"100,000.00",2.64,0.48,802.72,301.00,0.04,"158,548.18",0.11,0.53,225.84,"1,232.55","1,235.56"
1.18,290.59,37.90,0.10,"100,000.00",2.99,0.48,808.86,248.40,0.05,"154,870.85",0.11,0.52,228.07,"1,151.43","1,151.54"
1.19,290.02,29.42,0.10,"100,000.00",5.58,0.49,788.71,292.92,0.06,"149,034.78",0.11,0.53,226.47,"1,414.87","1,414.90"
1.18,291.79,35.18,0.10,"100,000.00",5.44,0.48,798.02,310.74,0.05,"157,269.68",0.10,0.52,230.83,"1,431.08","1,424.06"
1.18,290.50,45.83,0.10,"100,000.00",5.31,0.49,800.54,343.19,0.04,"154,732.35",0.10,0.51,233.95,"1,605.27","1,615.25"
1.18,291.92,31.25,0.09,"100,000.00",2.88,0.48,793.10,358.45,0.04,"167,966.19",0.10,0.53,225.88,"1,450.18","1,450.03"
1.19,290.08,32.09,0.10,"100,000.00",3.55,0.49,788.82,372.92,0.04,"164,921.11",0.11,0.51,225.92,"1,621.67","1,631.36"
1.18,290.20,41.14,0.09,"100,000.00",4.78,0.49,807.96,363.39,0.05,"168,527.29",0.11,0.52,227.25,"1,736.67","1,746.32"
1.18,290.28,41.31,0.10,"100,000.00",3.04,0.49,794.39,332.06,0.05,"155,536.47",0.10,0.53,229.55,"1,436.57","1,446.60"
1.18,290.51,42.24,0.10,"100,000.00",4.73,0.48,808.27,297.06,0.06,"163,279.43",0.11,0.51,229.68,"1,502.15","1,502.08"
1.19,291.55,41.95,0.10,"100,000.00",4.80,0.48,792.97,372.71,0.04,"155,179.18",0.11,0.52,231.36,"1,603.59","1,603.05"
1.19,290.85,41.10,0.09,"100,000.00",4.38,0.48,801.00,302.96,0.05,"166,766.14",0.10,0.53,229.40,"1,497.79","1,497.71"
1.19,290.22,32.70,0.10,"100,000.00",3.70,0.49,805.06,329.80,0.05,"155,514.42",0.11,0.51,227.02,"1,456.81","1,456.85"
1.19,290.47,39.23,0.10,"100,000.00",3.23,0.49,798.32,301.54,0.05,"158,596.12",0.10,0.53,226.95,"1,373.89","1,374.88"
1.18,290.81,38.01,0.09,"100,000.00",3.73,0.49,790.95,302.96,0.04,"166,231.29",0.10,0.52,230.18,"1,431.66","1,422.61"
1.18,291.30,40.57,0.09,"100,000.00",4.67,0.48,802.05,364.32,0.06,"156,359.34",0.11,0.53,228.19,"1,599.30","1,597.18"
1.19,290.46,38.82,0.09,"100,000.00",3.81,0.49,804.50,352.69,0.04,"165,006.69",0.11,0.52,227.08,"1,601.03","1,600.79"
1.19,290.34,38.04,0.10,"100,000.00",3.80,0.49,791.13,364.07,0.05,"166,009.63",0.11,0.52,229.18,"1,626.55","1,627.27"
1.18,290.66,37.12,0.10,"100,000.00",4.16,0.49,800.10,357.40,0.05,"165,913.24",0.11,0.53,227.20,"1,616.67","1,618.41"
1.18,290.97,36.00,0.09,"100,000.00",4.22,0.48,798.00,356.86,0.05,"161,190.41",0.10,0.52,227.47,"1,572.83","1,570.64"
1.19,291.16,37.57,0.09,"100,000.00",3.61,0.48,791.85,307.82,0.04,"160,867.54",0.10,0.52,228.57,"1,381.08","1,382.04"
1.18,241.57,38.04,0.10,"100,000.00",4.26,0.48,800.67,325.71,0.04,"157,208.05",0.11,0.53,223.74,"1,447.65","1,457.71"
